title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Made by Google 2018,EsoQGTA1SxY,1567479,26308,4635,0,0
Google Assistant: Now on Smart Displays (Awkwafina),ISNLWtT8ku8,1080509,653,21,75,0
(Live)Google Pixel 3Tai Wan Fa Biao Hui Zhi Ji !Goole AssistantZhong Wen Ban Lai Liao ?[(LPComment)] ,8ImPIEGJh9k,6979,72,5,7,0
Google Pixel 3 Impressions!,LRh_iVXulXk,3516282,105348,3359,19576,0
Meet Google Pixel 3,vKSA_idPZkc,939373,16813,4626,3585,0
Google Pixel 3 event in 12 minutes,BXogn99dOec,1142547,11842,1556,2556,0
2018 Google Pixel 3 event -- CNET live coverage,yyPODhoDgKc,255011,2200,299,109,0
20 LUGARES INACREDITAVEIS DO GOOGLE MAPS,Bcs-_hv5qxs,911611,235145,1648,8693,0
Official 2018 Made by Google Event Recap Video,2dufxpHm4bg,131436,4137,526,523,0
Google Digital Wellbeing App For Nokia 6.1 Plus (Pie),Y4ds4iq1Juw,1788,68,2,21,0
Googleplex Full Tour - The Secrets of Google HQ,IM26945994c,2642492,109292,4703,7851,0
 Subway Surfers - Official Google Play Trailer,fUk_eBKL3q8,359139172,228773,74732,5361,0
Meet Google Pixel Slate,FF1yy67BSp0,185753,2436,184,359,0
"Palm returns, Google Pixel 3 and 3 XL rundown (Alphabet City)",qXIFEUC7qD4,10780,320,22,74,0
Google Pixel 3 Event In 6 Minutes,G7F65S0QmA0,163864,2066,252,509,0
If Google Was Indian Government Office?,sD0qb72wZlU,2990249,199173,5465,14128,0
Keynote (Google I/O '18),ogfYd705cRs,4499444,41123,4536,0,0
Google Acikladi! 2017 de En Cok O Unluler Arandi!!!,9e2p5wgJs5I,2156054,1751,1038,135,0
Rotimatic - This Week in Google 477,n2vD46Tyk7s,3909,53,1,7,0
Meet Google Home Hub,LxuHbgz1UtI,201139,1276,82,233,0
Google Pixel 3 Camera  App For Nokia 6.1 Plus,F_PZjzSIM8U,5178,130,9,66,0
Google Pixel 3 Teardown!,ClnzFNOQTis,82191,2018,62,182,0
How to Get Higher Google Rankings in 2018 [New Checklist],aZCIbskIFkk,202417,5281,166,697,0
